Cycle,TimeCurrentTimetable_sigstats_ClearanceFactor,TimeCurrentTimetable_sigstats_CrestFactor,TimeCurrentTimetable_sigstats_ImpulseFactor,TimeCurrentTimetable_sigstats_Kurtosis,TimeCurrentTimetable_sigstats_Mean,TimeVoltageTimetable_sigstats_PeakValue_FeatureTableC12,TimeCurrentTimetable_sigstats_RMS,TimeCurrentTimetable_sigstats_SINAD,TimeCurrentTimetable_sigstats_SNR,TimeCurrentTimetable_sigstats_ShapeFactor,TimeCurrentTimetable_sigstats_Skewness,TimeCurrentTimetable_sigstats_Std,TimeVoltageTimetable_sigstats_ClearanceFactor,TimeVoltageTimetable_sigstats_CrestFactor,TimeVoltageTimetable_sigstats_ImpulseFactor,TimeVoltageTimetable_sigstats_Kurtosis,TimeVoltageTimetable_sigstats_Mean,TimeVoltageTimetable_sigstats_PeakValue_FeatureTableV12,TimeVoltageTimetable_sigstats_RMS,TimeVoltageTimetable_sigstats_SINAD,TimeVoltageTimetable_sigstats_SNR,TimeVoltageTimetable_sigstats_ShapeFactor,TimeVoltageTimetable_sigstats_Skewness,TimeVoltageTimetable_sigstats_Std
422,1.33925699831346,1.16206571509744,1.25376015784357,2.5709363731316,1.9941972939901,2.50018,2.15152025728758,-4.66936653499802,-4.49359862238941,1.07890003940143,-1.14356347816405,0.808639681298699,1.0877198586283,1.08137836818621,1.08553655938295,2.64142832739403,3.86907482856976,4.20002,3.88395239705343,2.83245301708291,2.83245301708291,1.00384526089837,-0.805195969164177,0.340085865596493
424,1.34126425723713,1.16295927046022,1.25523447372668,2.55422003210256,1.99187278734633,2.50018,2.14987535985428,-4.75466171387105,-4.59552629819765,1.07933661812155,-1.13662973468224,0.809979787633274,1.08753888806741,1.08120283419662,1.08535735772096,2.64313084938055,3.86971433180343,4.20002,3.88458362539584,2.88707968889438,2.88707968889438,1.00384249004003,-0.807331041469229,0.340019537538061
426,1.34327151616081,1.16385282582299,1.25670878960979,2.53750369107352,1.98954828070257,2.50018,2.14823046242097,-4.83995689274407,-4.69745397400589,1.07977319684166,-1.12969599120044,0.811319893967849,1.08735791750651,1.08102730020702,1.08517815605896,2.64483337136706,3.87035383503709,4.20002,3.88521485373825,2.94170636070584,2.94170636070584,1.00383971918169,-0.809466113774282,0.339953209479629
428,1.34527877508448,1.16474638118576,1.2581831054929,2.52078735004449,1.9872237740588,2.50018,2.14658556498767,-4.9252520716171,-4.79938164981413,1.08020977556177,-1.12276224771863,0.812660000302425,1.08717694694562,1.08085176621743,1.08499895439696,2.64653589335358,3.87099333827076,4.20002,3.88584608208066,2.99633303251731,2.99633303251731,1.00383694832336,-0.811601186079335,0.339886881421196
431,1.34828966346998,1.16608671422992,1.26039457931757,2.49571283850093,1.98373701409315,2.50018,2.14411821883772,-5.05319483992663,-4.95227316352648,1.08086464364194,-1.11236163249591,0.814670159804287,1.08690549110428,1.08058846523304,1.08473015190396,2.64908967633335,3.87195259312127,4.20002,3.88679292459427,3.07827304023452,3.07827304023452,1.00383279203585,-0.814803794536914,0.339787389333548
433,1.35029692239365,1.16698026959269,1.26186889520068,2.4789964974719,1.98141250744938,2.50018,2.14247332140442,-5.13849001879966,-5.05420083933472,1.08130122236205,-1.1054278890141,0.816010266138863,1.08672452054339,1.08041293124345,1.08455095024196,2.65079219831987,3.87259209635493,4.20002,3.88742415293668,3.13289971204599,3.13289971204599,1.00383002117752,-0.816938866841967,0.339721061275115
435,1.35230418131733,1.16787382495546,1.26334321108379,2.46228015644286,1.97908800080562,2.50018,2.14082842397112,-5.22378519767268,-5.15612851514296,1.08173780108216,-1.0984941455323,0.817350372473438,1.08654354998249,1.08023739725385,1.08437174857996,2.65249472030638,3.8732315995886,4.20002,3.88805538127909,3.18752638385745,3.18752638385745,1.00382725031918,-0.81907393914702,0.339654733216683
437,1.354311440241,1.16876738031824,1.2648175269669,2.44556381541382,1.97676349416185,2.50018,2.13918352653781,-5.30908037654571,-5.2580561909512,1.08217437980228,-1.09156040205049,0.818690478808013,1.0863625794216,1.08006186326426,1.08419254691797,2.6541972422929,3.87387110282227,4.20002,3.8886866096215,3.24215305566892,3.24215305566892,1.00382447946084,-0.821209011452072,0.339588405158251
439,1.35631869916467,1.16966093568101,1.26629184285001,2.42884747438479,1.97443898751809,2.50018,2.13753862910451,-5.39437555541873,-5.35998386675943,1.08261095852239,-1.08462665856868,0.820030585142589,1.0861816088607,1.07988632927466,1.08401334525597,2.65589976427941,3.87451060605594,4.20002,3.88931783796391,3.29677972748039,3.29677972748039,1.00382170860251,-0.823344083757125,0.339522077099818
441,1.35832595808834,1.17055449104378,1.26776615873312,2.41213113335575,1.97211448087432,2.50018,2.13589373167121,-5.47967073429176,-5.46191154256767,1.0830475372425,-1.07769291508687,0.821370691477164,1.08600063829981,1.07971079528507,1.08383414359397,2.65760228626593,3.87515010928961,4.20002,3.88994906630632,3.35140639929186,3.35140639929186,1.00381893774417,-0.825479156062178,0.339455749041386
